,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Years,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Wii U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,3.07,3.46,3.58,1.16,0.13,0.0,0.0,0.0
DS,2.86,10.99,20.76,29.31,29.47,27.28,20.55,8.76,3.08,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wii,0.0,0.0,2.96,16.55,24.09,21.05,17.26,11.49,5.11,2.04,0.79,0.3,0.0,0.0,0.0,0.0,0.0
Xbox 360,0.0,1.18,6.81,7.91,11.16,10.36,13.54,13.95,10.69,6.24,2.54,0.99,0.39,0.06,0.0,0.0,0.0
Playstation Vita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,3.6,3.36,2.66,2.76,2.0,0.78,0.23,0.03,0.0
Playstation 3,0.0,0.0,1.25,7.92,10.46,13.26,13.83,14.42,11.97,8.26,3.44,1.72,0.67,0.2,0.0,0.0,0.0
PSP,0.47,9.61,9.49,12.81,14.05,9.92,9.15,7.52,4.24,2.98,0.57,0.0,0.0,0.0,0.0,0.0,0.0
3DS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48,13.28,13.95,8.88,7.83,7.3,6.64,3.54,1.55,0.46
Xbox Series X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03
Xbox One,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,7.23,8.39,7.98,7.64,6.83,4.97,3.15
Playstation 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39
Playstation 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,13.73,17.74,17.79,19.81,18.28,14.27,8.6
Switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,16.34,19.28,28.3
